AT,V,AP,RH
25.86,76.2,1005.73,69.35
14.46,45.87,1008.26,89.44
10.86,44.85,1014.15,88.36
25.53,59.57,1010.65,82.04
16.61,25.88,1009.34,65.47
25.97,43.21,1011.9,88.73
9.66,41.82,1033.19,73.19
20.28,68.63,1012.42,70.31
21.82,65.27,1013.86,72.81
25.9,71.73,1010.18,74.83
22.48,71.29,1008.15,75.41
25.03,57.5,1014.96,62.23
18.11,43.43,1008.65,73.3
30.88,67.83,1008.97,54.99
10.94,39.04,1021.62,86.41
27.1,52.84,1006.28,53.85
11.36,41.48,1012.8,76.16
29.82,43.21,1011.52,63.54
14.12,39.4,1008.02,76.45
27.91,72.24,1010.74,70.8
28.11,77.95,1009.38,72.81
21.86,49.21,1014.61,53.31
32.26,71.29,1008.41,48.58
24.82,71.94,1010.5,64.67
5.49,40.81,1014.43,90.41
12.38,48.04,1012.78,100.13
12.97,49.83,1008.69,91.49
16.77,50.9,1013.24,84.4
24.26,56.57,1013.86,70.35
16.86,39.63,1004.47,83.5
15.33,37.2,1013.4,78.99
28.76,51.43,1011.88,49.79
17.46,39.54,1008.21,74.24
21.99,42.48,1011.77,74.04
5.76,45.87,1010.83,95.79
15.04,38.01,1022.46,78.29
9.86,42.49,1009.16,81.41
27.19,71.32,1008.97,88.43
30.3,69.51,1011.8,50.43
14.96,43.02,1012.77,42.93
8.16,39.64,1011.21,85.56
14.77,58.2,1018.78,83.83
11.35,38.91,1017.93,83.45
31.25,68.94,1005.99,49.61
33.42,68.51,1011.91,45.83
26.95,70.79,1004.09,75.35
29.56,73.88,1005.77,66.45
23.48,65.12,1015.82,60.83
30.13,71.98,1004.95,63.62
19.13,68.61,1010.65,94.92
27.02,71.25,1000.48,87.86
6.94,39.61,1017.74,81.43
31.75,74.99,1003.25,53.33
20.99,67.07,1005.17,82.41
32.96,68.31,1010.39,42.33
6.3,39.33,1010.63,94.26
26.92,63.73,1010.29,68.6
26.45,73.5,1010.31,74.33
28.35,71.14,1010.65,60.38
34.03,73.56,1006.49,51.07
10.03,43.13,1014.85,70.09
20.61,62.91,1013.24,79.54
24.16,66.05,1016.45,73.27
26.53,65.61,1014.29,50.9
7.0,38.08,1020.27,77.67
17.19,58.86,1016.74,85.97
31.07,64.96,1005.2,58.93
12.24,49.83,1007.9,94.28
27.4,77.24,1007.65,78.13
7.76,37.7,1014.82,76.47
16.52,44.88,1017.61,90.08
27.1,79.74,1005.43,86.05
20.6,59.15,1013.32,91.07
28.15,74.9,1003.67,76.32
9.27,39.64,1010.79,79.56
16.23,43.69,1016.4,68.9
16.4,44.9,1009.22,82.31
14.54,42.77,1019.61,81.82
5.51,35.57,1026.3,78.97
25.01,66.56,1004.55,82.46
26.96,73.68,1013.81,84.77
24.34,66.05,1019.26,74.58
23.15,69.48,1011.07,85.83
18.63,48.92,1011.37,71.72
14.79,39.54,1007.25,82.54
29.87,73.68,1015.1,40.96
13.07,42.18,1014.98,87.77
31.84,77.95,1014.9,55.35
21.31,49.39,1020.18,71.35
31.03,69.98,1011.33,52.16
32.41,72.86,1003.69,58.04
29.53,72.39,998.47,76.05
14.38,40.1,1015.51,81.23
19.39,68.61,1011.09,96.51
22.43,63.94,1012.76,93.24
12.36,40.56,1022.11,72.99
18.53,39.72,1001.26,64.08
22.31,43.43,1010.64,56.44
10.08,41.16,1023.14,96.03
29.55,72.29,1007.94,84.45
13.85,44.9,1019.11,76.79
23.43,63.94,1010.64,89.29
31.18,77.95,1014.89,65.62
12.58,43.67,1014.36,91.72
26.8,49.3,1003.86,62.75
24.18,58.49,1011.3,77.82
31.38,68.27,1006.79,52.79
22.72,69.84,1005.96,83.9
20.76,59.04,1012.51,85.39
18.19,66.54,1012.9,86.05
11.68,39.22,1017.9,57.95
7.62,44.71,1020.56,69.96
22.25,43.79,1015.78,52.68
11.02,40.0,1015.75,74.83
25.77,58.59,1012.51,55.84
20.86,51.3,1012.03,92.46
24.33,68.08,1013.02,64.81
18.23,45.01,1012.24,73.86
22.22,48.98,1015.87,53.18
25.64,47.01,1014.81,62.29
23.27,60.84,1019.13,67.24
10.15,39.22,1020.09,68.75
29.65,74.9,1003.22,71.09
18.27,58.2,1018.34,72.73
14.4,40.2,1013.04,90.5
5.54,45.87,1008.69,95.91
15.6,41.04,1025.48,64.43
18.76,56.53,1020.04,86.62
30.92,80.18,1010.11,72.47
13.45,41.16,1022.04,82.96
26.31,72.39,1001.16,88.43
27.49,71.94,1006.62,73.35
5.42,41.38,1020.77,86.02
20.98,60.1,1011.07,79.44
35.56,68.94,1006.56,38.75
18.44,39.72,1001.14,66.83
11.94,39.28,1017.04,89.88
4.97,42.85,1014.02,88.78
10.48,36.71,1023.18,81.37
14.5,53.82,1016.81,62.89
20.74,58.12,1015.43,77.88
15.71,40.12,1012.81,97.46
29.29,72.58,1007.39,72.85
27.06,64.45,1008.72,54.21
10.31,44.63,1020.55,88.62
14.6,44.84,1023.58,88.21
21.44,63.09,1016.56,90.11
11.95,42.03,1017.58,90.89
25.59,72.43,1007.88,82.98
18.32,39.53,1008.15,64.85
21.85,63.86,1020.16,68.84
17.98,59.15,1012.09,83.03
18.15,41.23,993.82,61.21
10.54,42.02,997.5,99.77
18.6,58.71,1009.8,86.42
27.56,66.93,1016.81,55.59
27.31,59.54,1006.24,71.99
32.57,78.92,1011.6,66.47
25.35,71.98,1006.83,88.44
10.39,40.22,1006.59,87.77
13.79,40.0,1016.02,70.17
19.59,59.87,1018.28,84.83
18.48,50.16,1011.45,99.92
26.44,69.34,1009.55,73.18
5.65,40.72,1022.46,85.17
9.44,44.03,1009.59,86.27
24.65,64.63,1020.52,53.45
23.3,52.84,1003.97,72.16
18.41,44.9,1008.97,73.81
18.77,49.39,1021.06,82.95
12.04,40.23,1018.07,81.28
4.99,39.04,1020.45,78.89
23.33,72.99,1009.33,89.41
12.11,41.17,1019.46,62.59
23.09,60.95,1015.02,68.78
9.88,39.66,1017.81,76.05
16.37,54.3,1017.94,63.63
24.26,69.51,1013.43,53.23
30.6,72.29,1010.54,41.52
22.16,65.48,1017.22,70.51
11.38,39.22,1018.62,57.14
12.04,41.58,1018.02,88.91
17.27,40.55,1000.89,70.66
15.44,39.54,1007.49,82.14
23.79,50.16,1005.32,75.82
24.8,68.3,1018.01,80.41
23.09,69.71,1009.75,91.35
27.09,59.15,1013.02,55.18
25.72,74.67,1016.64,75.93
7.07,37.49,1010.35,87.19
30.4,71.97,1008.42,76.28
26.88,74.78,1010.42,64.81
24.23,59.04,1011.91,71.79
25.21,70.04,1009.51,76.13
8.16,39.72,1020.54,82.11
21.94,62.52,1015.99,74.56
11.44,41.39,1019.59,79.95
23.59,43.77,1010.85,55.98
9.76,39.16,1014.19,85.4
6.03,40.78,1025.53,98.68
14.51,41.79,1009.72,80.62
24.42,62.66,1007.65,71.57
26.76,49.02,1007.96,70.05
21.42,56.89,1014.39,84.05
5.23,35.57,1026.23,79.38
9.78,41.93,1023.18,75.05
29.01,70.32,1007.26,60.55
28.56,65.27,1013.28,49.95
7.33,41.16,1023.17,92.43
33.27,66.44,1010.63,43.47
24.01,63.56,1014.19,64.31
10.39,39.69,1003.31,89.6
31.51,71.97,1007.84,71.18
7.0,39.81,1017.47,87.65
22.45,57.76,1017.55,58.6
13.88,48.79,1017.28,79.4
17.77,56.53,1019.57,79.89
16.58,45.87,1009.66,97.59
14.66,42.77,1019.37,79.79
22.78,58.96,1013.65,57.06
22.26,70.47,1008.32,84.22
12.17,49.83,1008.05,96.44
13.35,41.39,1019.17,72.87
4.0,39.9,1008.46,97.21
27.56,65.59,1010.88,66.47
33.45,73.88,1006.23,44.14
25.96,60.95,1014.52,50.03
20.37,69.48,1011.04,84.31
6.67,36.08,1022.31,83.51
10.48,41.93,1017.17,92.81
30.03,67.9,1006.22,52.61
14.0,41.78,1010.96,48.37
8.97,39.66,1021.63,78.94
32.1,69.98,1013.31,55.84
26.96,69.45,1013.89,51.47
19.48,58.79,1017.6,88.72
6.05,42.85,1013.09,91.88
29.3,73.67,1005.64,65.31
27.57,69.84,1004.91,68.37
13.11,42.99,1007.6,97.0
26.0,69.88,1007.99,87.07
28.27,66.56,1007.36,55.99
29.24,64.33,1011.49,65.08
13.83,44.45,1021.5,68.75
28.46,73.67,1005.67,71.21
24.95,76.16,1006.2,76.16
23.6,62.44,1011.52,78.12
20.01,52.9,1018.05,58.88
21.93,58.96,1014.23,58.58
26.82,60.96,1012.25,57.41
32.67,77.95,1014.62,50.73
