AT,V,AP,RH
30.74,69.59,1008.69,68.04
11.41,41.54,1019.94,66.49
19.72,51.19,1008.51,95.28
25.11,56.89,1013.33,67.31
12.74,39.13,1008.19,94.81
13.23,52.72,1026.4,75.78
25.18,57.5,1015.07,60.76
21.14,48.78,1020.39,86.2
23.46,47.01,1014.41,69.19
20.41,50.32,1008.45,93.12
11.02,44.58,1016.4,83.57
29.14,61.5,1009.64,39.95
30.82,76.2,1007.47,59.3
26.38,59.92,1009.99,71.91
30.22,74.9,1003.57,67.15
27.37,63.73,1009.79,65.25
16.32,43.5,1021.3,72.6
6.04,41.14,1027.92,87.12
24.11,68.3,1017.33,79.16
25.1,71.77,1004.34,82.8
7.82,41.16,1023.3,87.7
18.04,44.88,1017.96,66.3
24.01,46.93,1013.3,52.24
26.71,70.4,1007.59,82.63
12.45,40.1,1015.4,82.61
21.43,46.97,1013.94,61.25
31.67,69.89,1013.88,39.33
14.64,42.77,1017.59,79.6
14.56,45.51,1015.39,69.84
19.22,65.06,1015.05,82.5
30.29,71.58,1010.01,54.03
22.9,49.3,1003.45,80.95
24.97,58.95,1017.19,56.24
23.68,49.02,1007.53,86.05
18.92,62.26,1012.05,85.99
9.15,39.61,1018.11,75.29
12.83,44.88,1017.86,87.88
13.9,45.08,1023.29,83.43
16.18,44.9,1021.3,74.46
22.85,60.29,1017.29,61.92
25.89,58.86,1014.16,52.95
24.14,59.87,1018.47,57.76
29.91,70.02,1010.18,64.1
22.15,43.77,1010.81,60.08
29.38,69.68,1011.35,49.25
11.36,40.75,1016.34,85.19
16.36,53.82,1015.05,71.95
32.77,71.32,1007.68,42.39
31.12,68.14,1003.67,67.36
15.09,40.89,1010.15,92.0
22.1,65.06,1014.56,71.5
25.65,69.23,1012.55,62.02
10.03,41.79,1020.35,66.42
10.63,44.2,1018.63,90.26
6.01,35.79,1011.05,91.33
19.98,60.77,1017.72,90.71
8.9,41.4,1030.83,85.63
19.89,51.43,1007.38,91.79
20.56,59.14,1016.02,68.59
15.69,37.87,1021.18,84.38
32.09,70.4,1003.73,55.65
14.81,42.77,1017.83,75.09
23.72,58.62,1016.65,69.1
29.01,66.56,1006.44,57.62
25.27,63.91,1009.82,75.48
19.13,66.86,1012.95,71.24
19.17,52.9,1016.56,65.23
31.1,71.32,1008.09,45.87
13.39,44.58,1016.5,79.26
23.39,63.94,1010.54,89.94
8.3,36.08,1020.63,80.42
21.23,68.08,1012.82,74.57
26.44,71.64,1004.55,85.53
3.99,39.64,1011.53,83.58
22.84,67.32,1013.77,64.67
12.93,43.13,1014.91,55.7
27.52,66.48,1004.99,52.54
14.3,42.99,1007.32,73.72
15.2,39.0,1016.1,72.76
24.9,58.49,1011.06,65.14
30.24,67.32,1014.07,46.53
24.65,63.86,1018.37,56.15
12.21,40.64,1020.31,83.84
13.9,40.2,1013.13,89.91
16.41,44.92,1024.27,84.16
16.74,38.01,1022.63,69.19
19.92,46.97,1014.32,69.17
16.49,41.93,1022.92,44.98
29.0,70.72,1009.51,67.72
12.8,39.16,1015.94,89.83
12.7,39.72,1017.89,62.97
20.64,49.21,1014.86,58.47
15.56,41.04,1025.8,64.81
16.88,39.99,1007.08,74.29
31.63,69.59,1008.66,61.81
24.57,51.95,1005.8,70.07
10.82,44.63,1020.64,90.26
27.75,69.89,1015.41,73.01
9.07,40.67,1014.41,70.39
10.49,42.49,1009.81,78.92
9.44,43.99,1020.31,98.06
13.15,41.14,1026.72,80.31
15.97,45.01,1016.58,83.24
30.81,71.97,1008.36,75.0
32.33,69.68,1011.95,39.89
20.09,61.27,1020.05,70.71
22.56,66.48,1003.82,77.46
29.17,64.79,1016.43,61.05
23.28,69.51,1013.31,53.0
24.8,66.51,1016.74,65.72
13.64,43.71,1024.41,84.46
28.41,75.6,1018.48,56.07
28.64,66.54,1010.43,43.39
20.3,48.41,1007.48,89.66
12.87,39.3,1019.26,71.55
22.64,59.27,1012.58,83.55
19.48,58.66,1013.32,73.16
23.26,59.14,1016.98,76.29
18.78,54.2,1012.05,89.25
30.01,73.18,1012.23,60.9
27.32,66.54,1004.95,72.58
23.93,64.05,1013.09,86.02
14.31,42.86,1031.14,69.6
13.42,40.92,1022.84,75.89
13.62,42.34,1017.87,89.67
21.93,60.84,1018.96,76.8
10.63,39.61,1020.0,72.42
28.38,72.39,998.93,73.85
24.34,70.79,1006.82,85.66
24.97,68.61,1011.08,58.94
5.25,42.85,1013.75,89.67
8.65,40.56,1023.23,78.85
22.61,44.05,1005.69,76.74
14.39,42.77,1017.36,83.28
8.95,43.13,1017.56,94.85
10.82,42.02,996.03,99.34
14.93,39.39,1014.31,80.68
23.28,68.28,1000.79,81.35
12.53,44.03,1007.21,84.2
22.04,57.32,1012.54,62.17
28.6,71.22,1003.15,58.33
30.56,71.98,1004.74,58.77
23.19,42.67,1007.83,63.31
24.49,59.87,1018.4,59.95
15.9,39.99,1007.03,78.49
18.0,43.7,1015.4,61.28
23.31,60.08,1017.14,64.35
33.37,79.05,1007.19,62.64
20.08,58.12,1015.53,80.84
7.33,40.0,1018.96,80.76
24.48,66.25,1009.42,88.17
14.22,48.6,1006.26,88.05
27.46,69.98,1013.28,63.73
18.19,41.85,1014.93,61.37
23.05,65.94,1010.99,69.73
6.69,36.24,1013.35,91.09
12.52,40.24,1020.45,97.41
10.32,41.01,1021.04,95.3
28.09,70.02,1010.84,51.29
27.69,70.32,1012.2,82.27
27.62,68.27,1008.04,63.04
22.09,65.59,1015.54,72.44
10.66,37.5,1009.42,95.86
9.71,42.44,1014.29,94.03
17.47,58.16,1016.36,82.26
11.82,41.26,1020.74,91.14
23.61,43.77,1011.81,56.08
31.63,70.17,999.4,59.94
30.45,43.21,1011.35,63.59
27.09,49.3,1003.93,61.0
22.42,59.43,1007.12,90.56
13.98,40.24,1017.19,87.45
27.46,68.08,1013.06,46.49
18.59,44.63,1003.99,86.22
20.17,58.12,1015.41,79.47
10.22,37.83,1005.94,93.53
10.72,35.76,1019.71,62.26
9.7,40.11,1026.61,75.48
23.63,63.57,1011.05,87.96
27.62,63.9,1013.11,43.56
13.92,41.16,1003.83,88.69
14.98,43.99,1022.66,83.34
13.94,38.47,1015.03,53.9
16.23,43.72,1009.96,83.01
21.32,48.14,1016.57,71.81
30.8,73.17,1010.51,51.93
24.03,58.46,1015.71,70.15
6.17,39.33,1012.57,93.32
27.35,66.05,1017.62,55.26
13.0,48.79,1017.14,85.23
12.56,41.4,1019.23,74.26
9.35,41.03,1021.33,66.75
22.77,69.84,1005.75,84.26
2.71,39.42,1026.66,81.11
27.37,71.06,1008.4,87.52
24.19,65.48,1018.8,60.54
5.86,40.62,1017.03,85.06
30.75,71.22,1006.47,48.06
22.07,58.95,1017.98,75.83
26.05,44.89,1009.83,56.36
26.93,56.9,1006.25,77.79
26.11,62.44,1010.68,72.59
26.38,71.73,1010.04,69.45
14.95,42.99,1008.75,90.76
18.99,44.6,1014.7,40.11
21.69,42.23,1013.05,67.55
14.38,45.09,1012.95,86.1
10.23,42.32,1017.53,89.93
25.82,57.19,1007.99,62.95
4.86,39.4,1012.73,91.39
22.1,71.29,1008.2,75.38
30.7,71.58,1010.0,48.96
9.86,38.38,1018.22,85.35
12.0,39.35,1015.48,82.51
15.85,49.69,1015.48,88.65
8.03,37.8,1020.47,60.67
27.24,66.75,1017.78,69.6
26.23,59.14,1016.98,75.54
22.63,70.47,1008.0,82.27
16.0,43.34,1013.89,78.39
11.26,44.92,1023.63,88.99
26.12,68.94,1007.12,67.08
29.22,73.18,1012.22,64.91
8.83,41.92,1031.8,78.97
26.19,65.61,1014.51,54.52
25.3,59.43,1009.15,58.3
7.36,41.01,1024.9,97.88
26.12,63.94,1017.97,44.81
11.68,40.55,1006.48,96.16
35.01,74.67,1016.1,26.3
5.9,45.87,1013.25,87.0
5.7,40.35,1012.18,91.57
11.27,40.62,1017.03,61.94
10.41,41.01,1020.12,94.27
27.21,64.05,1010.08,76.69
20.76,59.21,1017.94,80.84
21.57,69.23,1011.94,81.73
23.56,60.77,1017.93,76.34
15.19,41.43,1011.34,89.67
9.43,41.4,1028.81,85.83
17.3,62.1,1020.28,88.06
6.13,39.48,1005.17,53.5
18.43,44.63,1019.76,39.99
8.0,34.03,1018.98,78.67
14.03,44.88,1019.6,57.63
31.45,68.27,1007.56,64.79
30.46,66.75,1017.81,54.48
29.06,64.96,1000.88,62.07
25.98,68.12,1011.36,66.86
10.72,41.38,1021.6,63.77
22.38,49.3,1003.56,83.83
20.76,44.58,1017.09,57.47
9.64,36.66,1027.1,70.11
14.55,42.74,1027.29,66.64
29.3,74.16,1007.72,81.92
5.28,45.87,1008.25,97.88
25.42,69.71,1009.29,82.5
7.68,39.96,1023.73,87.48
24.72,68.67,1006.74,79.02
23.98,50.32,1008.41,67.75
26.11,52.36,1013.9,59.62
30.22,68.3,1014.91,34.9
29.1,76.2,1006.28,60.22
11.09,42.44,1014.18,92.81
18.88,44.06,1013.81,68.54
9.41,43.5,1021.0,88.74
26.2,71.73,1009.99,74.99
29.3,68.08,1011.23,56.23
5.05,35.57,1027.03,80.02
27.94,69.84,1003.11,70.47
22.7,59.92,1011.05,90.84
13.73,41.92,1031.01,64.92
17.32,42.24,1017.35,62.96
25.4,69.59,1008.58,82.22
27.19,71.58,1010.85,76.1
25.32,63.77,1014.55,74.69
11.01,37.5,1015.08,73.36
21.23,50.59,1017.42,69.26
10.07,40.46,1018.65,69.2
17.99,43.72,1008.64,75.04
26.08,52.3,1007.03,63.34
30.03,68.84,1011.41,53.82
15.82,44.88,1018.59,78.88
12.03,40.1,1015.32,85.39
26.72,65.61,1014.41,52.01
25.34,69.48,1008.4,74.79
14.51,49.83,1006.27,91.65
19.73,68.63,1012.41,74.12
13.67,44.92,1023.6,85.35
25.22,71.85,1009.78,68.96
16.34,47.45,1009.41,92.96
20.67,70.02,1010.42,94.09
6.72,38.91,1016.89,90.47
21.08,52.05,1012.28,45.25
29.05,64.84,1011.1,51.39
8.67,36.66,1026.8,84.36
21.9,55.5,1018.85,60.27
18.63,50.16,1010.21,97.13
24.92,73.68,1015.12,93.68
5.66,39.42,1024.7,78.52
16.85,49.78,1005.61,100.1
19.31,44.71,1016.13,30.59
10.9,41.93,1014.96,96.24
8.27,37.7,1015.09,73.64
9.68,41.44,1015.19,87.34
29.46,49.3,1003.88,54.1
17.0,45.09,1013.52,88.32
24.54,60.29,1017.42,58.94
17.17,44.68,1018.72,83.58
9.97,41.26,1020.6,91.14
21.97,58.12,1014.21,85.93
14.47,41.76,1021.98,78.41
20.52,57.76,1017.03,81.19
14.13,41.23,994.6,93.02
30.9,69.4,1003.53,66.69
17.68,39.08,1002.77,74.24
32.5,73.68,1014.65,55.72
13.48,40.35,1011.71,69.44
25.45,74.33,1015.53,80.95
10.1,41.79,1019.36,78.07
19.77,56.65,1020.67,66.33
21.47,65.61,1015.92,76.22
8.3,43.13,1020.02,83.11
24.96,77.54,1008.25,80.6
27.2,78.05,1010.15,90.2
13.55,42.99,1007.58,97.55
31.27,69.13,1009.45,57.01
15.49,40.89,1007.16,82.16
21.35,57.76,1017.36,73.1
24.33,46.93,1013.83,44.59
34.53,73.03,1013.53,36.74
25.21,63.21,1012.24,85.14
32.87,71.32,1004.36,54.69
16.3,41.16,1007.88,76.61
21.39,62.96,1019.49,72.24
21.82,58.66,1011.71,64.37
30.17,74.22,1007.46,49.27
12.89,48.14,1017.48,83.95
29.27,66.85,1011.11,63.25
23.66,69.51,1012.9,52.59
25.11,67.32,1014.49,58.39
14.2,42.86,1031.96,69.59
11.29,41.5,1013.39,89.15
13.41,54.3,1016.48,79.28
25.11,63.21,1012.21,83.58
16.58,41.79,1006.24,72.95
5.18,40.27,1010.84,81.64
24.67,58.05,1011.31,69.95
19.83,51.43,1007.36,91.64
24.75,58.79,1009.87,71.97
5.02,45.87,1007.8,99.22
30.69,71.98,1004.53,65.86
6.24,35.77,1019.24,70.7
9.14,40.6,1015.34,88.91
15.21,52.75,1024.32,61.11
15.14,49.64,1023.78,75.0
11.53,41.14,1025.63,88.54
9.09,41.92,1029.36,91.0
11.48,37.5,1014.38,69.75
23.06,56.85,1012.5,64.03
28.51,74.78,1009.84,59.06
29.0,75.33,1001.6,71.43
23.1,66.05,1020.28,80.62
14.85,40.8,1025.38,53.29
23.01,59.44,1012.82,82.62
25.03,60.27,1017.9,72.04
24.43,60.07,1015.59,59.99
31.41,64.44,1013.84,49.49
27.61,49.16,1005.01,35.63
21.34,59.8,1016.92,77.06
24.62,68.31,1010.45,75.18
26.3,77.95,1009.45,78.72
23.16,57.69,1007.91,84.7
34.63,74.33,1011.7,31.45
23.49,47.45,1008.46,66.18
28.82,77.24,1008.35,78.93
10.66,41.93,1016.12,94.16
27.25,69.98,1008.55,59.55
14.48,40.89,1011.39,82.18
25.86,59.92,1009.92,73.95
18.13,66.86,1012.9,78.84
10.72,39.35,1015.35,86.43
28.43,63.31,1013.44,49.99
9.08,40.02,1031.2,75.34
31.49,73.5,1010.71,40.16
7.71,38.06,1021.0,83.47
25.45,69.59,1008.51,83.17
32.55,73.03,1014.36,44.83
32.2,72.29,1008.61,69.94
19.31,60.07,1014.86,69.37
14.44,39.0,1017.06,76.02
16.55,41.66,1011.45,55.53
21.04,69.48,1011.07,89.92
18.32,47.83,1005.06,87.21
32.23,69.13,1000.61,55.1
22.43,63.21,1012.06,84.75
23.86,45.87,1007.71,48.73
21.43,59.14,1015.91,64.4
20.91,59.14,1017.25,74.7
5.71,45.87,1012.04,93.42
11.92,41.2,1016.99,81.24
29.79,67.69,1006.86,55.93
15.79,50.88,1014.58,99.9
6.9,40.62,1018.48,78.84
15.86,39.82,1013.12,77.37
22.49,62.52,1016.57,63.69
29.4,57.19,1008.34,53.95
18.68,56.65,1020.38,80.26
23.63,60.93,1006.41,83.06
20.71,46.63,1013.1,74.49
11.04,41.74,1022.6,77.51
22.03,64.69,1007.21,75.75
15.65,39.59,1012.8,87.63
16.85,52.9,1019.47,81.28
11.83,44.6,1018.49,89.06
9.55,39.66,1018.8,74.88
19.76,62.1,1020.07,73.55
30.18,65.74,1012.63,47.74
31.71,73.5,1010.63,40.17
28.47,69.23,1013.18,40.73
21.6,43.43,1010.28,61.87
28.68,61.86,1011.78,62.67
12.77,41.5,1014.13,86.8
21.26,50.32,1008.41,87.22
27.17,61.02,1011.38,65.32
20.6,65.12,1015.53,71.57
27.16,59.87,1011.78,58.84
5.18,41.31,1000.59,92.14
27.01,63.78,1016.72,47.89
27.99,71.64,1007.79,72.67
21.32,45.01,1012.23,59.94
15.45,46.63,1012.6,85.47
7.55,38.08,1019.37,76.32
20.78,68.28,1008.75,60.87
24.91,71.29,1008.29,69.06
20.08,54.42,1011.79,89.35
6.49,36.3,1016.52,69.1
5.21,35.79,1011.5,95.08
14.42,41.16,1004.32,88.42
17.08,40.12,1012.17,81.5
26.65,66.48,1005.7,65.09
12.27,41.17,1019.39,52.18
13.82,41.62,1011.48,77.66
21.19,74.93,1015.75,80.84
20.6,66.86,1013.08,62.48
27.18,61.41,1012.17,46.11
24.51,68.63,1014.15,45.1
27.09,65.61,1014.22,48.13
14.57,37.86,1022.44,68.82
20.55,63.86,1015.12,73.98
7.91,39.96,1023.57,88.44
11.41,39.61,1018.69,69.44
27.41,69.98,1008.51,65.49
28.43,73.18,1012.52,71.05
13.74,45.08,1024.97,84.79
22.85,47.43,1008.13,66.36
10.45,40.0,1019.01,89.01
11.48,41.2,1012.88,90.04
15.75,47.45,1009.86,86.68
26.74,59.87,1012.5,62.88
18.48,46.48,1007.53,82.57
19.72,65.94,1010.53,82.12
14.47,44.66,1016.33,93.52
24.15,63.13,1013.8,92.1
25.89,66.49,1013.08,63.16
29.87,73.91,1004.53,74.3
34.33,74.34,1001.74,42.75
22.79,69.13,1010.87,91.47
15.68,39.16,1006.09,75.62
22.42,60.08,1017.71,67.46
7.69,39.96,1023.9,89.18
28.29,69.13,1009.29,58.18
13.75,44.47,1029.63,70.74
21.09,46.63,1013.03,74.8
27.36,58.33,1013.86,56.7
26.54,71.14,1007.52,72.04
17.27,43.52,1021.37,76.73
10.02,39.66,1016.34,79.98
30.62,66.75,1017.68,53.68
25.68,46.21,1011.01,57.53
21.75,58.79,1012.42,87.58
7.35,41.66,1015.55,79.67
27.07,65.59,1012.14,63.93
9.56,44.71,1021.13,64.6
27.28,44.89,1009.02,49.9
16.44,53.16,1014.82,75.29
18.2,45.01,1013.82,68.14
6.02,41.38,1021.2,88.71
25.3,70.98,1007.22,95.1
26.27,62.91,1011.97,48.06
32.73,69.88,1007.86,46.95
17.51,53.16,1013.13,82.86
27.88,63.87,1017.79,40.0
7.25,41.14,1024.99,95.85
17.48,40.89,1011.39,62.45
10.95,43.8,1022.61,63.46
25.32,61.25,1011.56,80.1
30.3,73.67,1005.57,58.74
24.34,62.96,1019.7,61.44
28.03,68.67,1005.52,58.16
17.77,52.9,1020.11,81.51
14.46,53.82,1016.55,68.11
27.72,69.88,1007.58,72.25
22.42,62.52,1016.83,63.27
21.31,58.66,1012.67,69.36
28.62,63.77,1012.82,55.77
22.01,60.84,1017.55,83.82
30.61,69.13,1009.32,55.17
20.19,62.26,1011.37,89.69
25.3,49.3,1003.67,69.08
6.9,40.71,1021.78,94.8
23.97,63.86,1018.09,57.62
28.85,66.54,1010.73,43.27
9.72,41.44,1015.17,84.41
20.97,61.87,1011.45,65.41
21.59,48.06,1012.72,77.13
26.63,61.47,1008.18,69.0
14.18,42.99,1007.19,73.21
7.74,42.49,1009.07,90.11
8.44,41.17,1019.9,70.72
21.38,60.84,1017.94,82.83
24.06,58.98,1010.66,81.16
24.19,47.45,1008.26,64.25
30.51,70.79,1004.55,56.05
22.47,47.45,1007.62,76.65
22.24,60.07,1015.93,62.25
16.6,53.16,1014.5,76.75
23.07,50.05,1006.9,86.98
13.09,39.85,1012.86,58.42
26.62,72.43,1006.79,82.74
19.4,64.63,1020.38,81.1
14.22,45.08,1023.26,84.41
6.14,39.4,1011.21,90.87
11.88,40.64,1020.5,85.43
28.5,73.77,1002.82,86.38
29.07,71.64,1006.07,69.53
27.34,70.98,1008.82,71.42
19.31,52.72,1024.93,53.93
22.12,69.71,1009.7,90.22
23.95,58.46,1017.5,68.46
23.97,68.67,1006.63,76.83
14.12,42.86,1011.84,88.29
20.13,40.33,1005.31,85.42
10.98,41.54,1019.94,69.83
30.34,75.08,1005.32,52.97
14.4,41.26,1021.41,73.11
