code,name
IFF,国际香料香精
IGT,国际游戏科技
INTC,英特尔
INTU,直觉软件
IP,国际纸业
IPG,埃培智
IR,英格索兰
IRM,铁山
ISRG,intuitive surgical
ITT,ITT科技
ITW,伊利诺伊工具
IVZ,景顺
JBL,捷普电子
JCI,江森自控
JCP,J.C.潘尼
JDSU,捷迪讯光电
JEC,雅各布斯工程
JNJ,强生
JNPR,瞻博网络
JNS,骏利资产管理
JOY,久益环球
JPM,摩根大通
JWN,诺德斯特龙
K,家乐氏
KEY,keycorp
KFT,卡夫食品
KIM,kimco房产信托
KLAC,科天半导体
KMB,金佰利
KMX,carmax inc
KO,可口可乐
KR,克罗格
KSS,柯尔百货
L,洛斯保险
LEG,礼恩派集团
LEN,莱纳房产
LH,美国实验室
LIFE,生命科技
LLL,L-3通信控股
LLTC,林立尔特
LLY,礼来
LM,美盛集团
LMT,洛克希德马丁
LNC,林肯国民
LO,罗瑞拉德烟草
LOW,劳氏
LSI,LSI电子
LTD,有限品牌服饰
LUK,莱卡迪亚
LUV,西南航空
LXK,利盟国际
M,梅西百货
MA,万事达卡
MAR,万豪国际
MAS,马斯柯
MAT,美泰
MCD,麦当劳
MCHP,微芯科技
MCK,麦克森
MCO,穆迪
MDT,美敦力
MET,大都会保险
MHP,麦格劳希尔
MHS,美可保健（停牌）
MJN,美赞臣
MKC,味好美
MMC,marsh&mclennan
MMI,摩托罗拉移动
MMM,明尼苏达矿业制造
MO,高特利
MOLX,莫仕
MON,孟山都
MRK,默克
MRO,马拉松石油
MS,摩根士丹利
MSFT,微软
MSI,摩托罗拉解决方案
MTB,M&T银行
MU,美光科技
MUR,墨菲石油
MWV,美德维实伟克
MWW,环球怪兽
MYL,迈兰实验室
NBL,诺布尔能源
NBR,纳伯斯工业
NDAQ,纳斯达克OMX
NE,诺布尔钻井
NEE,nextera能源
NEM,纽蒙特矿业
NFLX,奈飞公司
NFX,新田石油
NI,尼索思
NKE,耐克
NOC,诺斯罗普格鲁曼
NOV,国民油井华高
NRG,NRG能源
NSC,诺福克南方
NSM,国家半导体
NTAP,网域存储技术
NTRS,北美信托
NU,东北公用事业
NUE,纽柯钢铁
NVDA,英伟达
NVLS,诺发系统（停牌）
NWL,纽威尔橡胶
NWSA,新闻集团-CLASS A
NYX,纽约泛欧交易所
OI,欧文斯伊利诺斯
OKE,oneok
OMC,奥姆尼康
ORCL,甲骨文
ORLY,O'Reilly汽车
OXY,西方石油
PAYX,沛齐
PBCT,人民联合金融
PBI,必能宝
PCAR,帕卡
PCG,太平洋煤气与电力
PCL,梅溪木材
PCLN,priceline
PCP,紧密机件
PCS,metropcs通信
PDCO,帕森特
PEG,公共服务
PEP,百事可乐
PFE,辉瑞制药
PFG,信安金融
PG,宝洁
PGN,progress能源（停牌）
PGR,progressive保险
PH,派克汉尼汾
PHM,普尔特房屋
PKI,铂金埃尔默
PLD,Prologis inc
PLL,颇尔
PM,菲利普莫里斯
PNC,PNC金融服务
PNW,pinnacle西方资本
POM,pepco
PPG,PPG工业
PPL,PPL能源
PRU,保德信金融
PSA,公共存储信托
PWR,quanta services inc
PX,普莱克斯
PXD,先锋自然资源
QCOM,高通
QEP,QEP资源
R,莱德物流
RAI,雷诺美国
RDC,rowan钻井
RF,地区金融
RHI,robert half
RHT,红帽
RL,拉夫劳伦POLO
ROK,罗克韦尔自动化
ROP,roper industries
ROST,罗斯服饰零售
RRC,range资源
RRD,康纳利父子
RSG,共和服务
RSH,radioshack
RTN,雷声
S,斯普林特耐克斯
SAI,科学应用
SBUX,星巴克
SCG,scana电力
SCHW,嘉信理财
SE,spectra能源
SEE,希悦尔包装
SHLD,西尔斯控股
SHW,宣威-威廉斯
SIAL,西格玛奥德里奇
SJM,盛美家食品
SLB,斯伦贝谢
SLE,莎莉集团（停牌）
SLM,SLM
SNA,实耐宝
SNDK,圣碟
SNI,斯克里普斯网络互动
SO,南方电力
SPG,西蒙地产
SPLS,史泰博
SRCL,stericycle
SRE,sempra能源
STI,太阳信托
STJ,圣犹达医疗
STT,道富
STZ,星座公司
SUN,太阳石油
SVU,超价商店
SWK,史丹利
SWN,西南能源
SWY,西夫韦
SYK,史赛克
SYMC,赛门铁克
SYY,西斯科
T,美国电话电报公司
TAP,莫尔森库尔斯酿酒
TDC,teradata
TE,teco能源
TEG,integrys能源
TER,泰瑞达
TGT,塔吉特
THC,特内特医疗
TIE,钛金属
TIF,蒂芙尼
TJX,TJX零售
TLAB,泰乐
TMK,torchmark
TMO,赛默飞世尔
TROW,TRowe Price
TRV,旅行者集团
TSN,泰森食品
TSO,特索罗石油
TSS,total system services
TWC,时代华纳有线
TWX,时代华纳
TXN,德州仪器
TXT,德事隆
TYC,泰科国际
UNH,联合健康
UNM,UNUM保险
UNP,联合太平洋
UPS,联合包裹快递
URBN,城市生活用品连锁
USB,美国合众
UTX,联合技术
V,VISA卡
VAR,瓦里安医疗
VFC,VF服装
VIA_B,维亚康姆-CLASSB（停牌）
VLO,瓦莱罗能源
VMC,vulcan材料
VNO,沃那多房产信托
VRSN,威瑞信
VTR,ventas
VZ,弗莱森电讯
WAG,沃尔格林
WAT,沃特斯
WDC,西部数据
WEC,威斯康星能源
WFC,富国银行
WFM,全食超市
WFR,memc电子材料
WHR,惠而浦
WIN,windstream
WLP,wellpoint
WM,废品管理
WMB,威廉姆斯
WMT,沃尔玛百货
WPI,华生制药
WPO,华盛顿邮报
WU,西联汇款
WY,惠好
WYN,温德姆
WYNN,永利度假
X,美国钢铁
XEL,XCEL能源
XL,XL资本
XLNX,赛灵思
XOM,埃克森美孚
XRAY,登士柏国际
XRX,施乐
YHOO,雅虎
YUM,百胜餐饮
ZION,ZIONS金融
ZMH,齐默尔控股
